id,data,codigo,descricao,previsto_mensal,realizado_mensal
84703,2014-08,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 532.876.368,08","R$ 418.008.153,65"
84715,2014-08,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 21.182.784,83","R$ 18.426.293,49"
84727,2014-08,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENTOS DO TRABALHO,"R$ 91.295.034,00","R$ 93.683.076,39"
84739,2014-08,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,"R$ 0,00","R$ 0,00"
84751,2014-08,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,"R$ 0,00","R$ 0,00"
84763,2014-08,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDIMENTOS,"R$ 19.748.775,42","R$ 18.562.461,35"
84775,2014-08,1.1.1.2.08.01,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,"R$ 123.397.786,92","R$ 125.676.384,39"
84787,2014-08,1.1.1.3.05.01,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,"R$ 820.106.798,83","R$ 821.214.351,02"
84799,2014-08,1.1.1.3.05.02,ISS - SISTEMA INTEGRADO - SIMPLES,"R$ 188.626,50","R$ 25.666,35"
84811,2014-08,1.1.1.3.05.03,ISS - CMSP,"R$ 0,00","R$ 0,00"
84823,2014-08,1.1.1.3.05.04,ISS - SIMPLES NACIONAL,"R$ 77.595.348,67","R$ 84.084.507,87"
84835,2014-08,1.1.1.3.07,IMPOSTO S/ VENDA A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS - IVV,"R$ 0,00","R$ 0,00"
84847,2014-08,1.1.2.1.25.01,"TAXA DE LICENÇA P/ LOCALIZAÇÃO, INSTALAÇÃO E FUNCIONAMENTO","R$ 0,00","R$ 0,00"
84859,2014-08,1.1.2.1.25.02,TAXA DE VISTORIA DE NORMAS DE SEGURANÇA,"R$ 0,00","R$ 0,00"
84871,2014-08,1.1.2.1.25.03,TAXA DE FISCALIZAÇÃO DE ESTABELECIMENTOS - TFE,"R$ 9.656.234,50","R$ 6.727.974,45"
84883,2014-08,1.1.2.1.26.01,TAXA DE FISCALIZAÇÃO DE ANÚNCIOS,"R$ 1.450.676,58","R$ 1.525.987,37"
84895,2014-08,1.1.2.1.32.01,TAXA P/ EXAME E VERIFICAÇÃO DE  PROJETOS E CONSTRUÇÕES,"R$ 5.377.583,00","R$ 2.754.961,54"
84907,2014-08,1.1.2.1.34.01,TAXA DE VISTORIA DE APARELHOS DE TRANSPORTE VERTICAL E HORIZONTAL,"R$ 639.709,08","R$ 77.321,13"
84919,2014-08,1.1.2.1.99.01,TAXA DE LICENÇA P/ TRÁFEGO DE VEÍCULOS,"R$ 0,00","R$ 0,00"
84931,2014-08,1.1.2.1.99.02,TAXA DE LICENÇA P/ ARRUAMENTOS E LOTEAMENTOS,"R$ 0,00","R$ 3,20"
84943,2014-08,1.1.2.1.99.03,TAXA DE FISCALIZAÇÃO DOS SERVIÇOS DE LIMPEZA URBANA - FISLURB,"R$ 250.000,00","R$ 8.867,67"
84955,2014-08,1.1.2.1.99.04,TAXA DE REMOÇÃO - CET,"R$ 896.934,92","R$ 619.369,30"
84967,2014-08,1.1.2.1.99.05,TAXA DE FISCALIZAÇÃO DE CEMITÉRIOS,"R$ 120.833,33","R$ 134.406,30"
